sat_id,sat_beam_id,sat_beam_ch_id,macd_id,concat,Ref,FWD Msps,FWD Rolloff,Modulation,Coding Rate,Ideal Spectral Efficiency,MACD_capacity_Mbps,beam-capacity,beam-capacity-lap3
1A,1,1,1,1A111,1AB001C1-MACD_1,52,0.2,32APSK,0.8,4.1,197.57855,900,900
1A,1,1,4,1A114,1AB001C1-MACD_4,52,0.1,32APSK,0.8,4,178.2493269,900,900
1A,1,1,2,1A112,1AB001C1-MACD_2,52,0.1,32APSK,0.8,4.1,171,900,900
1A,1,1,3,1A113,1AB001C1-MACD_3,52,0.1,32APSK,0.8,4.1,170.9814375,900,900
1A,1,1,5,1A115,1AB001C1-MACD_4,52,0.1,32APSK,0.8,4,170.9814375,900,900
1B,1,1,1,1B111,1BB001C1-MACD_1,52,0.2,32APSK,0.8,4,197.57855,874.6,885.3
1B,1,1,2,1B112,1BB001C1-MACD_2,46,0.1,32APSK,0.8,4,174.781025,874.6,885.3
1B,1,1,3,1B113,1BB001C1-MACD_3,45,0.1,32APSK,0.8,4.1,170.9814375,874.6,885.3
1B,1,1,5,1B115,1BB001C1-MACD_4,45,0.1,32APSK,0.8,4,170.9814375,874.6,885.3
1B,1,1,4,1B114,1BB001C1-MACD_4,45,0.1,32APSK,0.8,4,160.2,874.6,885.3
1A,2,1,6,1A216,1AB002C1-MACD_6,50,0.1,32APSK,0.8,4.1,198.0548077,411.5,396
1A,2,1,5,1A215,1AB002C1-MACD_5,52,0.1,32APSK,0.8,4,205.5,411.5,396
1B,2,1,4,1B214,1BB002C1-MACD_4,52,0.2,32APSK,0.9,4.4,219.8927,228.7,219.9
1A,3,1,2,1A312,1AB003C1-MACD_2,50,0.1,32APSK,0.9,4.4,211.4352885,434.1,409
1A,3,1,1,1A311,1AB003C1-MACD_1,52,0.1,32APSK,0.8,4.1,197.57855,434.1,409
1B,3,1,1,1B311,1BB003C1-MACD_1,50,0.1,16APSK,0.8,3.2,152.1934135,158.3,158.7
1A,4,1,3,1A413,1AB004C1-MACD_3,52,0.2,32APSK,0.8,4.1,205.977,214.2,206
1B,4,1,2,1B412,1BB004C1-MACD_2,52,0.2,32APSK,0.9,4.4,219.8927,228.7,219.9
1A,5,1,1,1A511,1AB005C1-MACD_1,52,0.2,32APSK,0.9,4.4,219.8927,228.7,219.9
1B,5,1,1,1B511,1BB005C1-MACD_1,15,0.1,32APSK,0.8,4.1,56.9938125,61.8,59.4
1A,6,1,1,1A611,1AB006C1-MACD_1,52,0.2,32APSK,0.9,4.5,219.9,219.9,222.7
1B,6,1,1,1B611,1BB006C1-MACD_1,52,0.1,32APSK,0.9,4.4,219.8927,228.7,219.9
1A,7,1,7,1A717,1AB007C1-MACD_7,45,0.1,32APSK,0.8,4.1,178.2493269,533.6,524
1A,7,1,6,1A716,1AB007C1-MACD_6,45,0.1,32APSK,0.8,4,170.9814375,533.6,524
1A,7,1,5,1A715,1AB007C1-MACD_5,46,0.1,32APSK,0.8,3.7,163.7995865,533.6,524
1B,7,1,5,1B715,1BB007C1-MACD_5,46,0.1,32APSK,0.8,4,163.7995865,474.3,456
1B,7,1,6,1B716,1BB007C1-MACD_6,38,0.1,32APSK,0.8,4,144.384325,474.3,456
1B,7,1,7,1B717,1BB007C1-MACD_7,36,0.1,32APSK,0.8,4,136.78515,474.3,456
1A,8,1,4,1A814,1AB008C1-MACD_4,52,0.2,32APSK,0.9,4.5,222.65135,231.6,291
