sat_id,sat_beam_id,sat_beam_ch_id,macd_id,Conc,Cluster,Vnode,cvv,LAG,comment
1A,1,1,1,1A111,6,3,603,1,
1A,1,1,2,1A112,6,3,603,1,
1A,1,1,3,1A113,6,6,606,1,
1A,1,1,4,1A114,6,6,606,1,
1A,1,1,5,1A115,6,5,605,1,
1B,1,1,1,1B111,6,11,611,2,
1B,1,1,2,1B112,6,11,611,2,
1B,1,1,3,1B113,6,10,610,2,
1B,1,1,4,1B114,6,10,610,2,
1B,1,1,5,1B114,6,14,614,2,
1A,2,1,5,1A215,4,4,404,1,
1A,2,1,6,1A216,4,4,404,1,
1B,2,1,4,1B214,2,14,214,2,
1A,3,1,1,1A311,1,10,110,1,
1A,3,1,2,1A312,1,10,110,1,
1B,3,1,1,1B311,1,16,116,2,
1A,4,1,3,1A413,1,11,111,1,
1B,4,1,2,1B412,6,13,613,2,
1B,4,1,3,1B413,6,10,610,2,
1A,5,1,1,1A511,3,1,301,1,
1A,5,1,2,1A512,3,1,301,1,
1B,5,1,1,1B511,4,13,413,2,
1A,6,1,1,1A611,3,4,304,1,
1B,6,1,1,1B611,3,16,316,2,
1A,7,1,5,1A715,5,1,501,1,
1A,7,1,6,1A716,5,1,501,1,
1A,7,1,7,1A717,5,1,501,1,
1B,7,1,5,1B715,4,16,416,2,
1B,7,1,6,1B716,4,16,416,2,
1B,7,1,7,1B717,4,16,416,2,
1A,8,1,4,1A814,3,8,308,1,migrated from 212 to 205
1B,8,1,4,1B814,3,18,318,2,
1A,9,1,1,1A911,2,3,203,1,migrated from 212 to 205
1B,9,1,1,1B911,5,2,502,2,
1A,10,1,8,1A1018,2,17,217,2,
1B,10,1,8,1B1018,5,13,513,2,
1A,11,1,1,1A1111,5,4,504,1,
1A,11,1,2,1A1112,5,4,504,1,
1B,11,1,1,1B1111,4,14,414,2,
1B,11,1,2,1B1112,4,14,414,2,
1A,12,1,8,1A1216,6,5,605,1,
1B,12,1,7,1B1216,6,15,615,2,
1A,13,1,4,1A1314,2,4,204,1,
1B,13,1,3,1B1313,5,12,512,2,
1A,14,1,1,1A1411,1,4,104,1,
1A,14,1,2,1A1412,1,4,104,1,
1B,14,1,1,1B1411,1,12,112,2,
1A,15,1,1,1A1511,6,1,601,1,
1A,15,1,2,1A1512,6,1,601,1,
1A,15,1,3,1A1513,6,4,604,1,
1A,15,1,4,1A1514,6,4,604,1,
1A,15,1,5,1A1515,6,4,604,1,
1A,15,1,6,1A1516,6,4,604,1,
1A,15,1,7,1A1517,6,4,604,1,
1A,15,1,8,1A1518,6,4,604,1,
1B,15,1,1,1B1511,6,13,613,2,
1B,15,1,2,1B1512,6,13,613,2,
1B,15,1,3,1B1513,6,12,612,2,
1B,15,1,4,1B1514,6,12,612,2,
1B,15,1,5,1B1512,6,14,614,2,
1B,15,1,6,1B1513,6,14,614,2,
1B,15,1,7,1B1514,6,15,615,2,
1A,16,1,7,1A1617,4,9,409,1,
